title,image_urls,price
"For sale  family house 340 m², land 468 m²","https://d18-a.sdn.cz/d_18/c_img_QL_J8/Fpup9S.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QN_KC/oDxp87.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QM_Km/wE9B4vM.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QN_KC/oX1p88.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QM_Km/SojB4vN.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QO_K6/e7PjE3.jpeg?fl=res,400,300,3|shr,,20|jpg,90",28316000
"For sale  family house 216 m², land 808 m²","https://d18-a.sdn.cz/d_18/c_img_gT_3/qnaLSE.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gY_z/0YULd8.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gZ_0/5fTLVs.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gQ_0/NBJLVC.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gT_3/PGYLSD.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gR_0/5jCLZn.jpeg?fl=res,400,300,3|shr,,20|jpg,90",24290000
"For sale  family house 394 m², land 530 m²","https://d18-a.sdn.cz/d_18/c_img_gV_2/nSfT8G.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QP_LN/c9nYqv.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QK_Jw/9aMXSY.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gQ_0/IIdT5w.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QN_KG/1Ymk9G.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QN_KG/5Pok9H.jpeg?fl=res,400,300,3|shr,,20|jpg,90",35881000
"For sale  family house 313 m², land 542 m²","https://d18-a.sdn.cz/d_18/c_img_gY_y/03bJRR.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gU_y/YFcJOc.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QI_Jo/I4zBAtK.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QP_LK/B9aKbj.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gS_z/cHaJQD.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gR_z/QslJNl.jpeg?fl=res,400,300,3|shr,,20|jpg,90",25748000
"For sale  villas 370 m², land 872 m²","https://d18-a.sdn.cz/d_18/c_img_QP_LM/pTJBMt.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QJ_Jw/NEuBKi.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gZ_0/rSRfo.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gY_z/UG0gv.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QL_KC/xGRBLJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QP_LM/48TBMu.jpeg?fl=res,400,300,3|shr,,20|jpg,90",55508000
"For sale  multi-gen house 177 m², land 437 m²","https://d18-a.sdn.cz/d_18/c_img_gT_4/mYZFmy.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gX_0/jIITi8.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QR_MN/p7RjPw.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QI_Jr/nbgKIW.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gY_z/ov3ToQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gV_2/be7Tj0.jpeg?fl=res,400,300,3|shr,,20|jpg,90",22070000
"For sale  multi-gen house 416 m², land 721 m²","https://d18-a.sdn.cz/d_18/c_img_gY_z/GphSdS.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QL_KC/PxThY9.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QO_LA/wXzhEx.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gT_4/ekAEcm.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gQ_0/BFxSVQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QN_KG/qYQhVe.jpeg?fl=res,400,300,3|shr,,20|jpg,90",27622000
"For sale  family house 344 m², land 264 m²","https://d18-a.sdn.cz/d_18/c_img_QO_K5/RXxBf5B.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QQ_Lm/QjzYmo.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QL_J7/1S6Bm4k.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QM_Km/oUvvmQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QQ_Lm/sZaYmp.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QJ_Jr/tIWBNHO.jpeg?fl=res,400,300,3|shr,,20|jpg,90",17628000
"For sale  huts 27 m², land 398 m²","https://d18-a.sdn.cz/d_18/c_img_gZ_0/rIYK98.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gZ_0/XBTK99.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QK_Jw/nJjGP3.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gT_3/a8KK7L.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gV_2/QFbK9P.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gS_0/cNaLE6.jpeg?fl=res,400,300,3|shr,,20|jpg,90",4788000
"For sale  family house 399 m², land 266 m²","https://d18-a.sdn.cz/d_18/c_img_gY_z/tOoJpF.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QI_Jq/1zRRgz.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QK_Jw/gqsEKR.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gZ_0/NM2JhN.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gX_0/dx6JjN.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QR_MN/ZNcRsa.jpeg?fl=res,400,300,3|shr,,20|jpg,90",27622000
